USERID,CUSTOM_DOUBLE1,ENDATE,CUSTOM_DOUBLE2,CUSTOM_DOUBLE3,START_DATE,PAY_GROUP,EVENT_REASON,CUSTOMSTRING21,CUSTOMSTRING22,CUSTOMSTRING23,
30000226            ,,,,,03/08/2017,P1,99P1,,,,
30000227            ,,,,,03/08/2017,P1,99P1,,,,
30000228            ,,,,,03/08/2017,P1,99P1,,,,
30000229            ,,,,,03/08/2017,P1,99P1,,,,
30000230            ,,,,,03/08/2017,P1,99P1,,,,
30000231            ,,,,,03/08/2017,P1,99P1,,,,
30000232            ,,,,,03/08/2017,P1,99P1,,,,
30000233            ,,,,,03/08/2017,P1,99P1,,,,
30000234            ,,,,,03/08/2017,P1,99P1,,,,
30000235            ,,,,,03/08/2017,P1,99P1,,,,
30000236            ,,,,,03/08/2017,P1,99P1,,,,
30000237            ,,,,,03/08/2017,P1,99P1,,,,
30000238            ,,,,,03/08/2017,P1,99P1,,,,
30000239            ,,,,,03/08/2017,P1,99P1,,,,
30000240            ,,,,,03/08/2017,P1,99P1,,,,
30000241            ,,,,,03/08/2017,P1,99P1,,,,
30000242            ,,,,,03/08/2017,P1,99P1,,,,
30000243            ,,,,,03/08/2017,P1,99P1,,,,
30000245            ,,,,,03/08/2017,P1,99P1,,,,
30000246            ,,,,,03/08/2017,P1,99P1,,,,
30000247            ,,,,,03/08/2017,P1,99P1,,,,
30000248            ,,,,,03/08/2017,P1,99P1,,,,
30000249            ,,,,,03/08/2017,P1,99P1,,,,
30000250            ,,,,,03/08/2017,P1,99P1,,,,
30000251            ,,,,,03/08/2017,P1,99P1,,,,
30000252            ,,,,,03/08/2017,P1,99P1,,,,
30000253            ,,,,,03/08/2017,P1,99P1,,,,
30000254            ,,,,,03/08/2017,P1,99P1,,,,
30000255            ,,,,,03/08/2017,P1,99P1,,,,
30000257            ,,,,,03/08/2017,P1,99P1,,,,
30000258            ,,,,,03/08/2017,P1,99P1,,,,
30000260            ,,,,,03/08/2017,P1,99P1,,,,
30000261            ,,,,,03/08/2017,P1,99P1,,,,
30000262            ,,,,,03/08/2017,P1,99P1,,,,
30000263            ,,,,,03/08/2017,P1,99P1,,,,
30000264            ,,,,,03/08/2017,P1,99P1,,,,
30000265            ,,,,,03/08/2017,P1,99P1,,,,
30000266            ,,,,,03/08/2017,P1,99P1,,,,
30000267            ,,,,,03/08/2017,P1,99P1,,,,
30000268            ,,,,,03/08/2017,P1,99P1,,,,
30000269            ,,,,,03/08/2017,P1,99P1,,,,
30000270            ,,,,,03/08/2017,P1,99P1,,,,
30000271            ,,,,,03/08/2017,P1,99P1,,,,
30000272            ,,,,,03/08/2017,P1,99P1,,,,
30000273            ,,,,,03/08/2017,P1,99P1,,,,
30000274            ,,,,,03/08/2017,P1,99P1,,,,
30000275            ,,,,,03/08/2017,P1,99P1,,,,
30000276            ,,,,,03/08/2017,P1,99P1,,,,
30000277            ,,,,,03/08/2017,P1,99P1,,,,
30000278            ,,,,,03/08/2017,P1,99P1,,,,
30000279            ,,,,,03/08/2017,P1,99P1,,,,
30000280            ,,,,,03/08/2017,P1,99P1,,,,
30000281            ,,,,,03/08/2017,P1,99P1,,,,
30000282            ,,,,,03/08/2017,P1,99P1,,,,
30000283            ,,,,,03/08/2017,P1,99P1,,,,
30000284            ,,,,,03/08/2017,P1,99P1,,,,
30000285            ,,,,,03/08/2017,P1,99P1,,,,
30000286            ,,,,,03/08/2017,P1,99P1,,,,
30000287            ,,,,,03/08/2017,P1,99P1,,,,
30000288            ,,,,,03/08/2017,P1,99P1,,,,
30000289            ,,,,,03/08/2017,P1,99P1,,,,
30000291            ,,,,,03/08/2017,P1,99P1,,,,
30000292            ,,,,,03/08/2017,P1,99P1,,,,
30000293            ,,,,,03/08/2017,P1,99P1,,,,
30000294            ,,,,,03/08/2017,P1,99P1,,,,
30000295            ,,,,,03/08/2017,P1,99P1,,,,
30000296            ,,,,,03/08/2017,P1,99P1,,,,
30000297            ,,,,,03/08/2017,P1,99P1,,,,
30000298            ,,,,,03/08/2017,P1,99P1,,,,
30000299            ,,,,,03/08/2017,P1,99P1,,,,
30000300            ,,,,,03/08/2017,P1,99P1,,,,
30000301            ,,,,,03/08/2017,P1,99P1,,,,
30000302            ,,,,,03/08/2017,P1,99P1,,,,
30000303            ,,,,,03/08/2017,P1,99P1,,,,
30000304            ,,,,,03/08/2017,P1,99P1,,,,
30000305            ,,,,,03/08/2017,P1,99P1,,,,
30000306            ,,,,,03/08/2017,P1,99P1,,,,
30000307            ,,,,,03/08/2017,P1,99P1,,,,
30000308            ,,,,,03/08/2017,P1,99P1,,,,
30000309            ,,,,,03/08/2017,P1,99P1,,,,
30000310            ,,,,,03/08/2017,P1,99P1,,,,
30000311            ,,,,,03/08/2017,P1,99P1,,,,
30000312            ,,,,,03/08/2017,P1,99P1,,,,
30000313            ,,,,,03/08/2017,P1,99P1,,,,
30000314            ,,,,,03/08/2017,P1,99P1,,,,
30000315            ,,,,,03/08/2017,P1,99P1,,,,
30000316            ,,,,,03/08/2017,P1,99P1,,,,
30000317            ,,,,,03/08/2017,P1,99P1,,,,
30000318            ,,,,,03/08/2017,P1,99P1,,,,
30000319            ,,,,,03/08/2017,P1,99P1,,,,
30000320            ,,,,,03/08/2017,P1,99P1,,,,
30000321            ,,,,,03/08/2017,P1,99P1,,,,
30000322            ,,,,,03/08/2017,P1,99P1,,,,
30000323            ,,,,,03/08/2017,P1,99P1,,,,
30000324            ,,,,,03/08/2017,P1,99P1,,,,
30000325            ,,,,,03/08/2017,P1,99P1,,,,
30000326            ,,,,,03/08/2017,P1,99P1,,,,
30000327            ,,,,,03/08/2017,P1,99P1,,,,
30000328            ,,,,,03/08/2017,P1,99P1,,,,
30000329            ,,,,,03/08/2017,P1,99P1,,,,
30000330            ,,,,,03/08/2017,P1,99P1,,,,
30000331            ,,,,,03/08/2017,P1,99P1,,,,
30000332            ,,,,,03/08/2017,P1,99P1,,,,
30000333            ,,,,,03/08/2017,P1,99P1,,,,
30000334            ,,,,,03/08/2017,P1,99P1,,,,
30000335            ,,,,,03/08/2017,P1,99P1,,,,
30000336            ,,,,,03/08/2017,P1,99P1,,,,
30000337            ,,,,,03/08/2017,P1,99P1,,,,
30000338            ,,,,,03/08/2017,P1,99P1,,,,
30000339            ,,,,,03/08/2017,P1,99P1,,,,
30000340            ,,,,,03/08/2017,P1,99P1,,,,
30000341            ,,,,,03/08/2017,P1,99P1,,,,
