OPERATOR,WORKER,JOBCOUNTRYCODE,EFECTIVESTARTDATE,
,30000508            ,PER,04/08/2017,
,30000510            ,PER,04/08/2017,
,30000511            ,PER,04/08/2017,
,30000512            ,PER,04/08/2017,
,30000513            ,PER,04/08/2017,
,30000514            ,PER,04/08/2017,
,30000515            ,PER,04/08/2017,
,30000516            ,PER,04/08/2017,
,30000517            ,PER,04/08/2017,
,30000518            ,PER,04/08/2017,
,30000519            ,PER,04/08/2017,
,30000520            ,PER,04/08/2017,
,30000521            ,PER,04/08/2017,
,30000522            ,PER,04/08/2017,
,30000523            ,PER,04/08/2017,
,30000524            ,PER,04/08/2017,
,30000525            ,PER,04/08/2017,
,30000526            ,PER,04/08/2017,
,30000527            ,PER,04/08/2017,
,30000528            ,PER,04/08/2017,
,30000529            ,PER,04/08/2017,
,30000530            ,PER,04/08/2017,
,30000531            ,PER,04/08/2017,
,30000532            ,PER,04/08/2017,
,30000533            ,PER,04/08/2017,
,30000534            ,PER,04/08/2017,
,30000535            ,PER,04/08/2017,
,30000536            ,PER,04/08/2017,
,30000537            ,PER,04/08/2017,
,30000538            ,PER,04/08/2017,
,30000539            ,PER,04/08/2017,
,30000540            ,PER,04/08/2017,
,30000541            ,PER,04/08/2017,
,30000542            ,PER,04/08/2017,
,30000543            ,PER,04/08/2017,
,30000544            ,PER,04/08/2017,
,30000545            ,PER,04/08/2017,
,30000547            ,PER,04/08/2017,
,30000548            ,PER,04/08/2017,
,30000549            ,PER,04/08/2017,
,30000550            ,PER,04/08/2017,
,30000551            ,PER,04/08/2017,
,30000552            ,PER,04/08/2017,
,30000553            ,PER,04/08/2017,
,30000554            ,PER,04/08/2017,
,30000555            ,PER,04/08/2017,
,30000556            ,PER,04/08/2017,
,30000557            ,PER,04/08/2017,
,30000558            ,PER,04/08/2017,
,30000559            ,PER,04/08/2017,
,30000560            ,PER,04/08/2017,
,30000561            ,PER,04/08/2017,
,30000562            ,PER,04/08/2017,
,30000563            ,PER,04/08/2017,
,30000564            ,PER,04/08/2017,
,30000565            ,PER,04/08/2017,
,30000566            ,PER,04/08/2017,
,30000567            ,PER,04/08/2017,
,30000568            ,PER,04/08/2017,
,30000569            ,PER,04/08/2017,
,30000570            ,PER,04/08/2017,
,30000571            ,PER,04/08/2017,
,30000572            ,PER,04/08/2017,
,30000573            ,PER,04/08/2017,
,30000574            ,PER,04/08/2017,
,30000575            ,PER,04/08/2017,
,30000576            ,PER,04/08/2017,
,30000577            ,PER,04/08/2017,
,30000578            ,PER,04/08/2017,
,30000579            ,PER,04/08/2017,
,30000581            ,PER,04/08/2017,
,30000582            ,PER,04/08/2017,
,30000583            ,PER,04/08/2017,
,30000584            ,PER,04/08/2017,
,30000585            ,PER,04/08/2017,
,30000586            ,PER,04/08/2017,
,30000587            ,PER,04/08/2017,
,30000588            ,PER,04/08/2017,
,30000589            ,PER,04/08/2017,
,30000590            ,PER,04/08/2017,
,30000591            ,PER,04/08/2017,
,30000592            ,PER,04/08/2017,
,30000593            ,PER,04/08/2017,
,30000595            ,PER,04/08/2017,
,30000596            ,PER,04/08/2017,
,30000597            ,PER,04/08/2017,
,30000598            ,PER,04/08/2017,
,30000599            ,PER,04/08/2017,
,30000600            ,PER,04/08/2017,
,30000601            ,PER,04/08/2017,
,30000602            ,PER,04/08/2017,
,30000603            ,PER,04/08/2017,
,30000604            ,PER,04/08/2017,
,30000605            ,PER,04/08/2017,
,30000606            ,PER,04/08/2017,
,30000607            ,PER,04/08/2017,
,30000608            ,PER,04/08/2017,
,30000609            ,PER,04/08/2017,
,30000610            ,PER,04/08/2017,
,30000611            ,PER,04/08/2017,
,30000612            ,PER,04/08/2017,
,30000613            ,PER,04/08/2017,
,30000614            ,PER,04/08/2017,
,30000615            ,PER,04/08/2017,
,30000616            ,PER,04/08/2017,
,30000617            ,PER,04/08/2017,
,30000618            ,PER,04/08/2017,
,30000619            ,PER,04/08/2017,
,30000621            ,PER,04/08/2017,
,30000622            ,PER,04/08/2017,
,30000623            ,PER,04/08/2017,
,30000624            ,PER,04/08/2017,
,30000625            ,PER,04/08/2017,
,30000626            ,PER,04/08/2017,
,30000627            ,PER,04/08/2017,
,30000628            ,PER,04/08/2017,
,30000629            ,PER,04/08/2017,
,30000630            ,PER,04/08/2017,
,30000631            ,PER,04/08/2017,
,30000632            ,PER,04/08/2017,
,30000633            ,PER,04/08/2017,
,30000634            ,PER,04/08/2017,
,30000635            ,PER,04/08/2017,
,30000636            ,PER,04/08/2017,
,30000637            ,PER,04/08/2017,
,30000638            ,PER,04/08/2017,
,30000639            ,PER,04/08/2017,
,30000640            ,PER,04/08/2017,
,30000641            ,PER,04/08/2017,
,30000642            ,PER,04/08/2017,
,30000643            ,PER,04/08/2017,
,30000644            ,PER,04/08/2017,
,30000645            ,PER,04/08/2017,
,30000646            ,PER,04/08/2017,
,30000647            ,PER,04/08/2017,
,30000648            ,PER,04/08/2017,
,30000649            ,PER,04/08/2017,
,30000650            ,PER,04/08/2017,
,30000651            ,PER,04/08/2017,
,30000652            ,PER,04/08/2017,
,30000653            ,PER,04/08/2017,
,30000654            ,PER,04/08/2017,
,30000655            ,PER,04/08/2017,
,30000656            ,PER,04/08/2017,
,30000657            ,PER,04/08/2017,
,30000658            ,PER,04/08/2017,
,30000659            ,PER,04/08/2017,
,30000660            ,PER,04/08/2017,
,30000661            ,PER,04/08/2017,
,30000662            ,PER,04/08/2017,
,30000663            ,PER,04/08/2017,
,30000664            ,PER,04/08/2017,
,30000665            ,PER,04/08/2017,
,30000666            ,PER,04/08/2017,
,30000667            ,PER,04/08/2017,
,30000669            ,PER,04/08/2017,
,30000670            ,PER,04/08/2017,
,30000671            ,PER,04/08/2017,
,30000672            ,PER,04/08/2017,
,30000673            ,PER,04/08/2017,
,30000674            ,PER,04/08/2017,
,30000675            ,PER,04/08/2017,
,30000676            ,PER,04/08/2017,
,30000677            ,PER,04/08/2017,
,30000678            ,PER,04/08/2017,
,30000679            ,PER,04/08/2017,
,30000680            ,PER,04/08/2017,
,30000681            ,PER,04/08/2017,
,30000682            ,PER,04/08/2017,
,30000683            ,PER,04/08/2017,
,30000684            ,PER,04/08/2017,
,30000685            ,PER,04/08/2017,
,30000686            ,PER,04/08/2017,
,30000687            ,PER,04/08/2017,
,30000688            ,PER,04/08/2017,
,30000689            ,PER,04/08/2017,
,30000690            ,PER,04/08/2017,
,30000691            ,PER,04/08/2017,
,30000692            ,PER,04/08/2017,
,30000693            ,PER,04/08/2017,
,30000694            ,PER,04/08/2017,
,30000695            ,PER,04/08/2017,
,30000696            ,PER,04/08/2017,
,30000697            ,PER,04/08/2017,
,30000698            ,PER,04/08/2017,
,30000699            ,PER,04/08/2017,
,30000700            ,PER,04/08/2017,
,30000701            ,PER,04/08/2017,
,30000702            ,PER,04/08/2017,
,30000703            ,PER,04/08/2017,
,30000704            ,PER,04/08/2017,
,30000705            ,PER,04/08/2017,
,30000706            ,PER,04/08/2017,
,30000707            ,PER,04/08/2017,
,30000708            ,PER,04/08/2017,
,30000709            ,PER,04/08/2017,
,30000710            ,PER,04/08/2017,
,30000711            ,PER,04/08/2017,
,30000712            ,PER,04/08/2017,
,30000714            ,PER,04/08/2017,
,30000715            ,PER,04/08/2017,
,30000716            ,PER,04/08/2017,
,30000717            ,PER,04/08/2017,
,30000718            ,PER,04/08/2017,
,30000719            ,PER,04/08/2017,
,30000720            ,PER,04/08/2017,
,30000721            ,PER,04/08/2017,
,30000722            ,PER,04/08/2017,
,30000724            ,PER,04/08/2017,
,30000725            ,PER,04/08/2017,
,30000726            ,PER,04/08/2017,
,30000727            ,PER,04/08/2017,
,30000728            ,PER,04/08/2017,
,30000729            ,PER,04/08/2017,
,30000730            ,PER,04/08/2017,
,30000731            ,PER,04/08/2017,
,30000732            ,PER,04/08/2017,
,30000733            ,PER,04/08/2017,
,30000734            ,PER,04/08/2017,
,30000735            ,PER,04/08/2017,
,30000736            ,PER,04/08/2017,
,30000737            ,PER,04/08/2017,
,30000738            ,PER,04/08/2017,
,30000739            ,PER,04/08/2017,
,30000740            ,PER,04/08/2017,
,30000741            ,PER,04/08/2017,
,30000742            ,PER,04/08/2017,
,30000743            ,PER,04/08/2017,
,30000745            ,PER,04/08/2017,
,30000746            ,PER,04/08/2017,
,30000747            ,PER,04/08/2017,
,30000748            ,PER,04/08/2017,
,30000749            ,PER,04/08/2017,
,30000750            ,PER,04/08/2017,
,30000751            ,PER,04/08/2017,
,30000753            ,PER,04/08/2017,
,30000754            ,PER,04/08/2017,
,30000755            ,PER,04/08/2017,
,30000756            ,PER,04/08/2017,
,30000757            ,PER,04/08/2017,
,30000758            ,PER,04/08/2017,
,30000759            ,PER,04/08/2017,
,30000760            ,PER,04/08/2017,
,30000761            ,PER,04/08/2017,
,30000762            ,PER,04/08/2017,
,30000763            ,PER,04/08/2017,
,30000764            ,PER,04/08/2017,
,30000765            ,PER,04/08/2017,
,30000767            ,PER,04/08/2017,
,30000768            ,PER,04/08/2017,
,30000769            ,PER,04/08/2017,
,30000770            ,PER,04/08/2017,
,30000772            ,PER,04/08/2017,
,30000773            ,PER,04/08/2017,
,30000774            ,PER,04/08/2017,
,30000775            ,PER,04/08/2017,
,30000776            ,PER,04/08/2017,
,30000777            ,PER,04/08/2017,
,30000778            ,PER,04/08/2017,
,30000780            ,PER,04/08/2017,
,30000781            ,PER,04/08/2017,
,30000782            ,PER,04/08/2017,
,30000783            ,PER,04/08/2017,
,30000784            ,PER,04/08/2017,
