USERID,STARTDATE,ENDATE,SEQNUMBER,PAYCOMPONENT,PAYCOMPVALUE,CURRENCY_CODE,FREQUENCY,IS_TARGET,NOTES,OPERATION,
30000305            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000306            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000307            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000308            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000309            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000310            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000311            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000312            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000313            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000314            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000315            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000316            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000317            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000318            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000319            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000320            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000321            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000322            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000323            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000324            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000325            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000326            ,03/08/2017,,,9001,510.0000,PEN,MON,,,,
30000327            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000328            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000329            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000330            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000331            ,03/08/2017,,,9001,510.0000,PEN,MON,,,,
30000332            ,03/08/2017,,,9001,1075.0000,PEN,MON,,,,
30000333            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000334            ,03/08/2017,,,9001,1325.0000,PEN,MON,,,,
30000335            ,03/08/2017,,,9001,18000.0000,PEN,MON,,,,
30000336            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
